振り仮名	漢字	中文
れんしゅう	練習	练习
ききます	聞きます	听
にちようび	日曜日	星期日
かんぱい	乾杯	干杯
なんにん	何人	几人
へんじ	返事	回信，答复
きゅうけいしつ	休憩室	休息室
たどうし	他動詞	他动词
たべます	食べます	吃
はたらきます	働きます	工作
かえります	帰ります	回来，回去
けさ	今朝	今早
つかいます	使います	使用
はなします	話します	说
どにち	土日	星期六
おきます	起きます	起床
じょすうし	助数詞	序数词
ゆのみ	湯呑	茶碗，水杯
やすみます	休みます	休息
えいご	英語	英语
あいます	会います	见面
こんど	今度	这次
しんじゅく	新宿	新宿（地名）
いっしょ	一緒	一起
どようび	土曜日	星期六
けいざい	経済	经济
さそいます	誘います	邀请
のみます	飲みます	喝
みます	見ます	看
ざっし	雑誌	杂志
ねます	寝ます	睡觉
たいへん	大変	不得了
べんきょう	勉強	学习
でんわばんごう	電話番号	电话号码
よび	予備	预备
ちゅうもん	注文	点菜
かきます	書きます	写
おくれます	遅れます	迟到
きのう	昨日	昨天
おわります	終わります	结束
メモちょう	メモ帳	记事本
もどります	戻ります	回来
ほかに	他に	别的
よみます	読みます	读
せんしゅう	先週	上星期
しらべます	調べます	调查
じかん	時間	时间
よくじつ	翌日	第二天
かいます	買います	买
でんち	電池	电池












漢字		振り仮名		
時間		じかん		时间
起きます		おきます		起床
今朝		けさ		今早
土日		どにち		星期六
遅れます		おくれます		迟到
大変		たいへん		不得了
戻ります		もどります		回来
寝ます		ねます		睡觉
働きます		はたらきます		工作
終わります		おわります		结束
休みます		やすみます		休息
勉強		べんきょう		学习
土曜日		どようび		星期六
日曜日		にちようび		星期日
昨日		きのう		昨天
先週		せんしゅう		上星期
帰ります		かえります		回来，回去
新宿		しんじゅく		新宿（地名）
メモ帳		メモちょう		记事本
予備		よび		预备
注文		ちゅうもん		点菜
一緒		いっしょ		一起
飲みます		のみます		喝
他に		ほかに		别的
誘います		さそいます		邀请
今度		こんど		这次
会います		あいます		见面
翌日		よくじつ		第二天
助数詞		じょすうし		序数词
乾杯		かんぱい		干杯
何人		なんにん		几人
電池		でんち		电池
電話番号		でんわばんごう		电话号码
調べます		しらべます		调查
雑誌		ざっし		杂志
読みます		よみます		读
経済		けいざい		经济
見ます		みます		看
返事		へんじ		回信，答复
書きます		かきます		写
他動詞		たどうし		他动词
食べます		たべます		吃
聞きます		ききます		听
話します		はなします		说
買います		かいます		买
使います		つかいます		使用
練習		れんしゅう		练习
湯呑		ゆのみ		茶碗，水杯
休憩室		きゅうけいしつ		休息室
英語		えいご		英语
